RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,271600,272967,279333,288667,295633,299267,299898,299598,299132,298467,297100,294233,291567,292933,297967,306333,314167,320580,322213,319713,315300,311967,306967,303267,299800,301467,306500,312927,320260,327760,334833,339833,342000,343300,342300,337831,333164,333497,340967,354394,367727,378394
394913,1,"New York, NY",Msa,NY,517960,523000,534333,544667,554667,560000,560000,554833,549833,551100,551267,550933,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577567,578900,577567,579000,585667,593667,599000,601000,611000,627333,642000,649000,649667,653000,659000,665667,671000,673000,671333,662997
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798333,802333,816000,833000,846633,849633,841300,824167,801167,784500,771633,761600,752933,749633,759667,776627,801927,821927,837967,845667,845667,846000,846000,849000,849333,865667,882667,886000,881663,891330,923997,954000,964330,969997,976663,989666,997626,999260,1007927,1008300,1008333,999666
394463,3,"Chicago, IL",Msa,IL,301000,305967,319300,335967,345967,347967,343321,336521,329854,324800,318300,309933,303267,306600,319633,336000,345667,347667,344333,337967,331300,324933,319630,311297,306330,309967,319967,327967,331333,336333,343300,348300,349967,349667,346000,340300,332300,332633,338300,346633,353267,354967
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341748,345081,351663,359812,366146,365982,359467,351100,344567,341233,339600,337967,335500,335800,340767,348267,354933,356300,354567,349533,344867,341600,339997,338330,335297,334533,336200,339200,343133,348133,354800,358267,359933,359633,357996,355043,353040,354707,360660,369647,379650,387050
394974,5,"Philadelphia, PA",Msa,PA,252633,249633,253667,260633,269967,275967,279300,278267,276233,274433,271797,266330,258163,254133,257967,267633,279167,287800,293133,293600,293633,293933,293633,290300,286500,286467,289800,294633,301333,311333,323333,333000,336300,337933,334933,331600,324800,321433,321467,326600,331633,336300
394692,6,"Houston, TX",Msa,TX,323782,326159,329640,334507,338163,339665,336465,331465,324967,321500,318167,316500,315000,316333,319667,324667,328672,330006,328306,324592,320258,317458,315133,312950,310447,309814,312660,315163,319830,324255,330422,335388,339967,341300,340997,337497,335493,334697,339530,347197,357660,366293
395209,7,"Washington, DC",Msa,DC,431171,430841,441280,452633,464633,474667,479667,476333,466663,461630,456597,449900,443233,443267,454967,471667,488000,496000,495667,489300,484633,483300,485000,483300,481633,486600,501600,513233,522933,531300,543000,549967,546633,539933,529967,522967,516000,512667,510967,516617,521617,526650
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,398604,398604,399950,401295,402944,403280,403582,403280,402944,402641,401598,400253,398907,398604,399950,401295,402977,403313,405332,405481,405481,403799,403650,403650,403650,403650,405332,404995,404659,402641,402977,404978,406997,408780,407565,404667,401666,399966,402346,410680,425713,441667
394347,9,"Atlanta, GA",Msa,GA,309934,314815,323482,335327,344667,349633,344800,337800,329500,324667,320333,316933,313567,313233,316867,326567,337900,344333,344417,339717,334684,330267,326967,325000,323667,323667,325667,327247,330580,336723,344477,351143,354667,356333,354667,351633,349967,353267,361633,378267,392853,405242
