RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021
102001,0,United States,Country,,194333,195833,197500,199167,200000,196333,192967,188300,186633,182333,178967,175468,173968,174668,177667,181167,182754,180230,177560,174806,175463,175467,174300,173333,171667,173333,175000,180000,183333,183333,180000,176667,176000,174333,172000,168167,167337,168337,172170,174667,175833,173133,169800,167133,166500,164833,162667,161667,165000,170500,177167,181833,183833,181667,179000,178167,179667,179333,177667,177300,180633,186967,193667,200300,202300,199967,196667,194000,195000,193333,192000,190333,192333,196833,202500,206833,209300,206133,203133,201000,202813,202480,201613,201300,204967,210167,215500,218833,219333,217000,213667,212667,214333,214000,211667,209833,212977,218644,224144,227333,228240,226573,225468,224895,225812,224584,223250,222667,225667,230333,236333,239667,241333,239000,237333,236200,237200,237197,237497,238163,241500,245300,249600,251267,251300,248000,245667,244333,245300,245300,244633,245333,248967,254633,259633,263000,263333,261468,260102,259768,261633,260833,261367,262700,266533,267667,269333,274333,281225,286392,288392,290333,290500,288833,288333,292667,302667,313049
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347333,350152,355152,365118,373300,378300,376667,370667,365667,359000,355391,350541,348875,345151,350500,360467,374633,385800,385934,381767,370101,363333,363333,364167,362500,357467,359300,367633,379333,389667,389333,382667,373000,369998,372308,372974,371309,369000,371650,381650,389983,396667,395000,388333,380000,375287,375287,376454,375000,375000,375500,384967,394967,404967,403333,398333,391167,387250,385583,386083,386667,390000,394000,405633,417961,425627,423994,412333,404000,399000,400000,399967,398300,398300,401667,411667,422333,429567,428233,419900,412667,407333,407667,407667,406000,406667,408333,420000,429982,434982,431648,424667,421333,419667,421667,423333,423333,426667,429333,439333,444000,452667,456000,463000,468667,472000,472000,471667,474667,483000,496333
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503333,496333,491333,483000,470000,455000,443333,433333,426667,412000,408000,401333,400917,403250,410750,419167,418167,417333,413333,411000,404333,400000,393333,393333,393333,402333,402333,406667,402667,404333,398333,396667,391667,386667,381167,381167,386167,390710,394043,395710,391667,386667,376667,371667,363333,357667,354333,358667,371000,381000,388333,391667,395000,396333,398000,399667,405833,405833,407500,414250,436250,458750,474500,477584,478751,475417,474333,474333,479167,478500,481750,484917,494917,504667,510333,517000,518751,518418,515084,511667,509333,506917,510083,515750,525833,531000,537667,539000,540667,535667,533000,533000,538500,541500,541500,542667,551667,564667,574167,575833,574500,571333,572333,572333,573000,572000,570333,577833,589000,602333,609500,615000,617833,619500,616167,616667,616333,613000,616333,622333,634667,643000,650333,654667,654000,649333,646000,643663,638663,631997,628167,633167,644000,649167,654167,661667,663667,663667,657000,657667,660000,663333,665750,672750,676083,674333,675000,688333,711667,728333,736667,736667,733333,728333,735000,750333,775333,802000
394463,3,"Chicago, IL",Msa,IL,250583,251833,255167,258667,260667,256833,249500,240167,234333,229167,224167,221167,221333,224333,227000,229667,231000,227667,220620,212620,209287,208667,206667,208250,208583,213250,216000,218333,222333,216667,213333,203000,200167,195167,194250,189667,188667,190417,197500,202167,203833,195500,185500,174000,169000,164333,159333,160967,167633,178967,190667,197333,200000,193333,182887,176220,171553,170333,165167,165204,173537,187004,203300,213300,218333,212000,203667,195000,191333,188667,183667,183667,189000,202417,215750,223050,226633,219967,211667,201667,196667,192833,190167,194417,204250,217250,225333,228667,227500,221833,214833,208667,204833,200167,195500,197667,209167,223333,231667,232500,230000,223167,217500,212500,211667,211000,211000,215833,224833,234833,241788,243455,240955,233500,225833,221667,221000,221000,221833,225833,233150,239983,244983,246000,243333,237333,230667,227333,225000,224333,224883,228717,236050,243833,249333,251000,249333,243333,238333,235000,234000,231000,229333,235333,247333,254500,256167,257167,263333,266667,268333,265000,263333,257667,256000,259333,268333,281667
394514,4,"Dallas-Fort Worth, TX",Msa,TX,150167,153617,155783,158450,159229,155729,152348,147952,146118,141500,140667,141000,144000,148000,153000,157333,158000,154667,150833,147193,145527,142193,142167,143800,149100,151767,154600,156800,159583,157617,153950,150167,151000,150333,149633,146300,146694,149060,153060,156900,157900,156233,153167,149665,150665,149165,150000,150998,155998,161332,165400,168267,168267,166642,163775,161775,162158,161592,161592,162767,169667,177147,182980,186647,187500,185000,180833,177833,177833,175000,175500,177167,183167,188667,194333,198667,200500,196500,193167,191000,194308,193975,194975,196667,204667,212633,219300,221633,220667,215648,212313,209647,211607,209942,211942,215000,222667,230967,237984,240818,240518,236800,236300,235300,237000,236333,239000,242333,249588,256588,261338,261650,259580,254830,252930,250667,253833,252500,253500,255333,261667,268333,273333,276000,273304,266637,261470,258500,260163,257630,257963,259153,265786,272786,277433,280130,278463,274296,271667,270000,271667,270286,271619,273286,279667,281667,285000,290000,296633,299467,299467,299500,300000,298000,301333,308000,320333,334000
394974,5,"Philadelphia, PA",Msa,PA,220667,224667,229333,237333,242300,239933,232267,225633,220667,217985,212985,209652,208333,210500,216900,222900,227400,224900,218900,212233,210000,209667,211000,210000,212000,212333,218333,225667,232000,233333,227667,222000,218667,216000,213633,208300,207467,207500,216167,223000,228000,222667,215900,209983,208317,205083,201667,196333,198000,204333,216083,225417,230083,226000,219623,216290,216290,215000,208500,205133,206133,212633,223667,233667,240333,236000,228333,221667,219967,217300,211120,207820,208820,215000,224667,233000,239663,234963,228963,223967,222333,219129,211129,208629,210417,218417,227583,234967,236633,233300,228330,224997,219997,214667,212000,211333,215000,222667,234000,242333,244000,238560,233560,229560,229667,226333,221333,217667,222000,231000,243400,249067,250733,243300,236688,231688,231722,228333,225667,224000,229000,236333,243000,248000,251667,249417,243583,237883,236467,235467,231167,231500,235667,245000,254333,262667,266000,260000,252667,248333,248750,248083,246417,247667,257550,264217,269248,271698,278365,281667,280000,276667,276667,275000,270000,266633,270800,279133
394692,6,"Houston, TX",Msa,TX,152333,154273,157106,160773,161950,161033,156218,149768,144018,140500,139117,140950,144950,151067,157067,162733,165000,162633,157633,153300,151333,150000,149500,149833,152667,154167,156500,157667,159967,158633,155800,153167,154500,152333,151333,150241,151796,153913,155672,159117,161333,159667,158000,155667,156968,153343,150010,149572,156697,164030,168833,170167,169467,165800,163700,164400,166733,164833,162167,162990,171823,180490,186333,188300,188300,186300,182333,180667,181167,180480,180147,178097,182450,186117,193000,196667,203333,202967,201300,197300,201000,201667,201833,200167,203167,209290,215165,219832,220375,216167,211500,206483,208483,207233,207750,206583,210836,216493,221659,226657,227667,225000,220000,218333,220000,218354,217021,217854,223667,228833,232000,232833,231667,229333,228330,227330,226330,223562,223196,224196,231297,237330,241330,242333,241000,237333,233000,231108,234074,233074,232300,232667,238667,244667,249000,250667,251000,247333,243967,242965,245628,244662,245234,244238,249538,249922,253922,259026,264405,265071,263997,264830,267830,266633,268967,274967,285309,294781
395209,7,"Washington, DC",Msa,DC,364667,368300,374967,381650,379683,366350,348000,333333,328333,328000,322011,317011,312011,316333,322833,334500,337833,334333,323000,313000,310000,302667,299856,297190,304856,314333,323333,333823,335490,337457,332751,334418,334451,326988,323655,320322,327263,335596,343930,353000,353000,350330,336663,329663,325667,323000,315759,315759,327244,344818,357818,366333,365333,357333,348667,346333,348000,346648,341648,343315,350833,367400,380238,389405,387838,378968,370634,365634,368333,366667,363186,358964,362330,376478,387367,397333,394635,384635,374635,368333,375000,371667,368500,366830,375163,387997,392167,393800,387467,382967,376308,374642,373522,368547,365213,361667,372972,382972,394305,394667,391983,384067,380067,374925,379842,378383,377875,373040,381798,394465,405966,408807,406107,397774,388967,384500,389500,388833,388333,388333,399167,410500,417133,419300,416300,409333,401333,397967,401633,399933,398033,398033,407067,418333,423333,426000,423333,415000,409998,409998,417742,414377,414043,418800,433167,438500,438500,445833,452500,456333,451333,448858,447525,439192,431667,435000,453333,478333
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,266633,265633,264836,265203,265203,258280,249547,237213,232133,220200,210867,197750,190083,185083,187233,193900,195567,192667,186000,182333,179667,175333,169000,164000,160417,163750,166083,170667,170000,167333,165667,163000,161667,156667,153333,146667,146667,150000,156667,159667,158333,155000,151667,149667,150500,149167,148500,146000,148633,152633,160967,166667,170000,170000,168667,169000,170667,172000,171333,171333,176333,185333,195333,203667,210000,210000,206667,205000,206667,206667,201667,201667,204000,215250,223583,233917,234333,231000,228333,229000,232333,232083,230632,230632,230882,236667,241917,248583,248583,245000,240000,236667,240000,241000,241333,237613,239113,243779,250800,255300,255967,255250,254917,255917,256667,255000,253333,252500,256250,260917,268417,272233,275900,272567,268333,266667,267333,269000,267333,269500,272833,278500,282333,285000,284333,281000,280000,281035,282685,280018,278400,280083,283583,287167,290083,295583,297583,295333,295333,298667,301333,300000,297667,299667,305417,310083,314600,318850,324850,328333,330000,330000,330000,331667,335000,340000,346333,354667
394347,9,"Atlanta, GA",Msa,GA,185000,187500,190500,193133,192193,185676,179376,173150,169998,166298,161523,158858,156091,158167,161600,167400,169100,165667,161333,158000,157333,151000,143833,138500,142107,149498,153332,152725,148167,144333,138967,136467,137300,139667,136167,130333,126333,128333,133333,138667,146000,147328,145994,141994,139667,135667,134000,137200,147167,158167,166300,170000,169000,165333,159667,158000,160333,159650,162983,167317,178067,186733,193400,198667,196733,190713,184046,180646,183333,183238,183238,183655,188750,197750,203667,206603,203936,198436,193065,190065,191168,190874,191874,192604,198668,207001,213001,216333,211667,206333,199967,199242,202576,202942,202300,201467,207800,214473,218515,219382,215742,210867,206333,206667,210667,210667,210667,211667,216967,221967,225555,227589,226577,223124,220790,221118,225350,225848,227365,228665,234833,241000,245333,246559,243892,242400,241474,242141,241933,241183,240850,242383,246500,253717,258883,263517,262604,260271,256971,257667,259967,258267,259933,261933,270300,270300,270400,272067,278067,281967,283633,283997,284030,282197,282500,289833,301667,315000
394404,10,"Boston, MA",Msa,MA,330000,340667,350667,356333,357667,344333,333583,322249,317249,313300,306633,301467,301500,306500,320000,328333,334000,327333,315667,305000,308333,315000,317333,313167,312500,318067,333867,349533,361633,351667,336667,328190,326524,325524,313667,308667,311333,325000,340333,351567,354900,348233,330667,322333,313667,311667,301667,303333,311667,326667,345917,357583,360583,344167,330833,327167,330000,328017,318900,314567,323383,337167,356000,365833,371833,363317,355650,348983,350483,354122,347455,344953,343148,355698,371717,382550,387000,373667,362000,354148,359148,364852,361620,356620,357917,370167,385167,394833,399972,388306,375806,369500,372800,376967,366300,364667,369667,386667,404333,414333,417667,408333,394667,391333,392000,399000,394000,398333,401667,415000,425833,435100,436767,428433,420544,418878,421378,422000,420323,423657,435657,447333,462333,470000,473333,458333,445000,438333,435333,437000,432983,437650,441135,456818,473152,483000,482667,471333,461333,453333,455000,459900,463233,471567,485000,495167,503500,508858,520358,525358,521667,514750,511417,511417,513833,521167,537833,559000
395057,11,"San Francisco, CA",Msa,CA,575833,571833,560833,549000,526333,498000,463000,429500,402458,367125,347292,336667,350333,372333,402833,422500,427500,426667,425000,426333,421333,405000,391667,390667,405667,427333,441667,454667,452617,445950,436117,429500,419500,396333,378333,379167,391230,406230,413064,416833,411833,399167,386833,380167,370500,356500,343167,349500,378333,415000,441667,456667,451667,444000,439000,449500,455500,443000,431000,446000,497167,548667,583667,593333,585000,566667,558333,558667,555333,543000,537083,555250,587583,613833,627167,629667,633500,625167,620667,611333,605000,589750,587917,607750,637667,663667,670333,669500,660167,648500,641667,648667,654333,651000,643500,643000,666333,691833,723333,730000,716417,689750,683083,688667,693667,673667,669667,687000,733667,760417,774750,768083,761667,750000,756000,768333,771667,747333,740250,765250,813250,844500,859500,854583,834750,804917,801833,801833,798000,763000,756333,767000,810333,835333,852583,838617,820283,796700,804000,809000,815000,788433,771767,781767,812667,834000,844000,863000,889000,902333,902333,903333,895000,878333,876667,908333,983333,1048000
394532,12,"Detroit, MI",Msa,MI,135333,135267,136600,137933,140333,140633,138133,133133,128167,123000,118333,113333,108583,108250,108250,111400,113400,115667,114600,111237,110637,110270,107967,104300,104000,107667,109667,111667,110000,109277,105593,103927,101317,99150,95783,92450,91617,94692,100592,105608,110900,113333,113000,109667,104667,100450,95117,93417,94633,101633,110000,118000,124333,125667,125000,122000,121667,119333,117000,115667,118667,124458,131425,139992,146867,149233,147500,143833,142000,139833,138133,136404,139070,144104,150333,154833,158167,158167,155333,151333,148250,146250,142550,142967,144633,153000,159000,164333,167000,166167,162500,156167,153667,152000,149667,149000,152333,160967,168300,174133,175800,173800,171300,167967,167633,163467,160167,158133,164300,172300,180833,183833,185800,181633,179967,175667,176100,171100,168767,168333,171667,179967,186600,192217,192583,188283,184333,180333,178333,174333,172000,173333,177333,186667,193333,200333,200333,200333,196667,193333,189333,186000,182667,185500,194167,199167,203633,209967,217300,221333,218000,217333,214167,209167,202500,202333,210667,228815
395025,13,"Riverside, CA",Msa,CA,317000,308667,303333,295667,283667,272333,264667,258000,251333,238000,230000,224667,224667,220333,217333,214833,214167,209167,210000,213333,216667,214667,210667,210667,207667,209667,209667,212333,208000,204667,202000,203333,202750,202750,201083,201083,200750,200750,199667,199000,197333,195667,194250,194250,192583,191500,191167,195167,198667,202333,203333,205333,201667,201667,203000,211667,218333,221667,222000,226000,234333,243000,249000,252917,255583,257250,258667,260333,263667,265000,268000,269667,273000,277667,281000,282667,281333,278500,278167,283333,287833,285500,285667,287333,295667,297333,300667,303333,303500,302500,300833,302333,305000,305000,305667,308667,314833,319500,319833,322000,322500,325167,323500,324333,326667,326667,328333,329667,336667,340167,343833,346833,349667,348833,347333,347667,350167,353000,358167,360833,364833,366333,368667,371333,370667,371400,369065,371732,370998,368667,366667,368333,373500,375167,375167,376333,376755,378088,378422,380500,382500,382500,385000,388333,390667,391667,393333,401000,408667,417000,422333,427000,430667,433667,440167,449833,461917,473750
394976,14,"Phoenix, AZ",Msa,AZ,225833,225333,225333,221667,217317,209651,205651,200258,194563,184867,177423,172418,169448,166633,164651,162984,159651,157000,154500,154833,152833,151333,148833,148833,149500,150000,150000,148333,145167,143167,142500,142333,141000,138333,136667,134667,134352,132352,131019,129000,128667,128667,128000,129667,131333,134333,135000,138062,143062,151062,156557,159891,161775,163218,166518,169133,172467,173016,173850,177183,181667,187333,191333,196000,197000,197967,198832,200499,201577,200878,200545,200833,202000,204000,206667,208333,210327,208409,208933,207556,210474,210583,211888,211221,212254,216000,219967,222633,222633,222667,224000,225732,227767,227767,228369,227833,230245,233245,236745,237667,238333,240000,242640,244283,244283,242809,242830,242830,244963,246967,250633,253229,254563,254229,255833,257167,258800,258654,260779,262479,264125,266833,270167,274467,274523,274523,274556,275667,277300,277300,276633,275667,277333,281771,285104,287767,288330,289997,293000,294667,297000,297000,298667,300667,302000,302000,303546,308712,317046,323833,330833,334167,335833,338333,345000,355000,365333,377667
395078,15,"Seattle, WA",Msa,WA,349000,348667,350000,349332,346332,338663,332861,325916,326918,325055,323333,318317,315650,317300,320650,321317,318000,313000,308427,304760,305760,305760,307593,306485,306391,308891,305667,312333,311667,313333,304667,301333,301617,296950,295283,293000,296333,294544,294202,290202,288658,281000,275000,269987,267654,262654,259333,261333,274667,286000,294663,297997,296997,295333,292077,292492,290808,283658,282987,286263,300003,311593,320000,328333,329593,329593,325927,322760,320760,314427,312906,312240,320406,325500,334833,338333,340667,337240,333906,333240,332730,332396,331396,336983,344983,354317,361000,363333,366333,361333,360370,355703,355703,354387,354387,359006,366287,379268,389615,397948,399967,397419,394380,394380,398533,395646,395646,397406,414250,427583,440823,443451,443768,441268,441056,442406,447667,444398,449981,454418,476687,485103,489667,483181,475847,467514,460000,458333,458333,456650,462650,474317,487667,499333,501938,501938,494552,487281,487281,488667,498333,498333,505833,512500,524167,521667,524422,532088,545922,554833,557167,558333,550000,548000,551333,574000,599667,633000
394865,16,"Minneapolis-St Paul, MN",Msa,MN,220300,220667,220333,219667,219667,217333,212667,206258,203258,199258,194650,188650,183983,184983,186650,191650,191667,191667,188333,186000,184000,180633,179300,179633,183000,184167,186967,193300,199100,198967,194967,190000,188967,184967,179933,173300,170175,172375,175709,178833,179258,175458,170458,165200,162333,159781,156948,157948,161333,168500,174833,181500,185833,186833,184333,181667,179925,176259,171503,171545,176545,186267,195300,204150,209183,208517,206667,204667,204725,203059,201142,199417,201083,205667,213000,216788,219454,215454,213333,210300,210670,208107,207041,208738,215300,221067,225333,227167,227607,226240,222740,222800,222500,222167,220000,219333,223875,229209,235209,238000,239027,236443,235410,234050,233267,230300,227328,229045,234712,241350,248030,250364,253197,251000,248667,245833,246300,246031,247364,249564,254764,259764,262597,265000,265000,264683,264683,265683,265667,264000,262333,266333,271950,278784,282117,283833,284333,282300,281530,280864,280897,278355,277355,283022,292333,297883,299509,302509,308292,310000,310333,309000,308333,305000,304767,310100,322434,332667
395056,17,"San Diego, CA",Msa,CA,456667,443333,442500,430667,423667,411167,400000,385500,373833,360833,357500,354167,356500,359667,366333,370000,371667,369667,366500,362833,363167,359333,359167,360833,364500,368333,368333,373333,376000,376000,372917,369417,367750,357500,350000,350333,357667,363000,362333,363333,361333,355000,351667,346583,346583,341583,340000,340000,346167,354750,360583,362750,363833,362667,364333,367500,374500,374500,375000,378667,396000,414333,426000,431333,429667,431000,428333,429667,429500,429500,426667,428500,436833,446667,453333,456333,459667,459667,457250,450583,447250,446333,449667,454667,460833,469167,477167,482167,482167,475833,471667,475333,480333,482250,475917,475917,484833,496250,502917,504750,507667,509500,514833,513167,513000,508333,508333,515000,521667,535000,543333,550000,551667,548333,546667,547667,551833,551500,550333,554167,567833,579667,586667,590000,594417,594750,589750,586250,579250,577583,571667,575000,577333,580667,587333,590000,596667,590000,591000,593333,595000,597333,597333,604000,604000,601333,601333,614667,631667,649583,654583,656583,653667,652667,662333,680667,705000,726667
