RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,184590,218519,240472,259231,274539,279225,255612,235874,227333,161254,179005,121352,127043,170153,181928,202289,251930,266140,247268,243102,252932,244285,233554,146708,147561,231294,248381,267768,311261,222840,211627,218413,189719,181669,199833,151030,144462,204070,208068,229230,262071,237520,259812,227227,210145,202920,218327,171031,178446,230784,241978,286258,300097,288591,310105,250897,282518,255245,258076,215199,206953,268026,307208,353237,352911,381179,375831,320962,322908,273104,284718,220324,209848,264914,304250,342942,373350,384780,360439,338056,346768,268516,315509,223696,225507,318247,343771,374927,447509,443946,405161,386003,364367,285149,349480,252089,263624,350977,373005,423499,486964,430775,461084,414548,380752,360742,375983,285707,273767,394358,380731,467165,513203,442998,478328,405953,408229,373317,374049,292980,278587,384901,407864,473458,498816,472847,487823,386410,416731,365000,343612,272626,283136,362847,406862,474204,460446,478885,468723,405166,421988,358880,383104,299357,292807,374206,330628,317418,430254,509057,491560,491690,501081,429665,466504,334871,320958,432632,450843,455787,533707
394913,1,"New York, NY",Msa,NY,8105,8794,9527,9810,10298,12749,11688,10978,9952,7886,8371,6110,5000,5932,6085,7003,8022,9965,10681,10616,10174,12390,11191,8096,6323,,,,,,,,,7674,7810,7256,6740,7757,7538,8133,9503,10066,10474,9448,8226,7388,8204,7547,6536,7211,7484,8853,9710,10815,11238,9868,9388,8071,9311,9432,7616,8525,9290,11649,11976,14725,15432,14648,13750,11101,11952,10462,7890,8962,9289,11087,11805,14169,13854,13021,13103,10297,12533,9795,8753,10008,10095,11026,13746,15889,16301,15106,14257,12226,13583,11422,10786,12298,11608,12418,16038,15991,18123,16886,14888,14145,15553,14332,11688,13512,13150,15273,18037,16956,20358,17662,16845,14822,15373,14148,11647,12529,13742,15599,17001,18715,20208,15771,17067,14901,14728,13792,11045,12342,13359,15177,16188,18605,18584,16312,16642,14471,15812,14684,12411,12852,9933,10329,12685,15175,17206,18355,21241,18850,22026,17970,15195,19147,18320,16548,18319
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,3603,4353,5174,5677,5829,6472,6141,5806,5915,4339,4823,3228,3435,4861,5262,5793,7192,7680,6912,7159,7438,6524,7783,5139,5051,7288,7188,8341,8918,7081,6776,6841,6144,6025,6986,5072,4886,6950,6711,6742,7588,6761,7204,6775,6143,6238,6974,5241,5690,7563,7497,8584,8925,8415,9721,7849,9117,8533,9188,6642,6717,8904,9246,10446,9689,10450,10626,8687,9116,7808,8523,6450,6230,8009,8979,9294,9376,9495,9192,8494,9041,7183,8546,6008,6210,9056,9839,9913,11126,11074,9700,9483,9129,6967,9620,6723,6727,9031,9628,10200,11099,10061,10618,9866,9240,9059,9521,7071,6671,10009,9092,10829,11948,9783,11249,9825,9409,8798,9135,6748,6628,9780,9267,10274,10641,9739,10261,7693,8562,7618,7226,5482,5798,7870,8852,9809,9384,9730,9895,8768,9328,8096,8728,6630,6590,7936,5791,4765,6974,9456,9544,10204,10616,9027,10330,7455,7307,10390,11087,9792,11260
394463,3,"Chicago, IL",Msa,IL,4856,5845,6572,6612,7722,8058,7452,6852,6222,3925,4245,2845,2464,3525,3935,4432,5772,6664,6636,6223,6530,6004,6241,3905,3156,4918,5857,6618,8276,6156,5319,4581,4443,3952,4441,3604,3006,4320,4470,5295,6643,5953,6768,5315,5132,5004,5441,4502,4094,5322,5605,7192,8114,7372,8277,6405,7426,6192,5958,5806,4599,5892,7630,9111,9451,11152,11004,9193,9894,7805,7805,6382,5374,6669,8536,9620,11578,12308,10558,10823,10746,7637,8802,6145,5684,7931,9423,10671,14543,13381,13300,12025,11056,7598,9397,7206,6863,9402,10780,12422,15757,13834,14680,11824,10634,9644,9507,7806,6493,10349,11004,13827,15631,12892,13970,10988,10573,9471,8906,7516,6129,10236,12307,14752,16769,15098,14513,11643,11928,10553,9145,6803,6879,9357,11134,13323,14177,13848,13221,11042,10676,9188,9224,7315,6901,8888,9419,8661,10999,14361,14459,14691,18313,15376,14148,11786,10374,12592,15340,16418,18204
394514,4,"Dallas-Fort Worth, TX",Msa,TX,5030,6113,6870,7113,7306,7699,6914,6197,5837,3954,4735,3295,3741,5051,5182,5442,6592,6906,6095,5766,5866,5676,5347,3136,3613,5962,6582,6864,7218,5232,5093,4597,4279,4316,4606,3299,3340,5107,5166,6115,6540,5763,6586,5252,4863,4577,5022,3732,4388,5812,5646,7383,7491,7346,7807,5688,6420,5495,5860,4804,4860,6954,8469,8771,8601,9499,9222,7361,7132,5932,6495,4662,5263,6783,7771,8518,9472,9375,8835,7754,7797,6002,7148,4697,5036,7719,7737,8760,10144,10064,9547,8593,7698,6165,8352,5401,6352,8612,8441,9350,10258,9449,10336,9148,7979,7718,8324,5694,6307,8974,8586,10427,10938,10108,10234,8628,8395,7921,8353,6152,6392,8601,8846,10185,10106,10185,10004,7658,8007,6999,7271,5162,6228,8212,9016,10283,9309,10286,9800,8466,8486,7190,8540,6142,6997,8706,7475,7260,10492,12372,11227,10265,9854,8715,9999,6500,6137,8540,9222,9787,10719
394974,5,"Philadelphia, PA",Msa,PA,3755,4614,5512,5417,6053,6879,5973,5569,5086,4074,4381,3126,2582,3411,3845,3981,5252,6133,5911,5591,5462,5661,5995,3090,2497,4150,4657,5506,7235,5591,4174,3888,3660,3421,3962,3062,2573,3549,3498,4107,4935,4509,5117,4011,4014,3598,4011,3396,3021,3705,3845,5274,5305,5658,5998,4070,4914,4714,4572,4430,3313,4099,5045,5967,6335,7326,6611,5617,5749,4672,5245,3845,3056,3819,4523,5325,6877,6506,6288,5840,5641,4753,5761,4061,3566,4860,5377,6138,8120,8765,7286,6689,6668,5097,6380,4694,4476,5308,5872,7452,9086,7879,8125,7020,6574,6485,6565,5204,4274,6365,6402,8334,9437,8568,8892,7184,7120,6990,6811,5680,4115,5694,6597,8373,9234,9084,8977,7380,7833,6947,6574,5448,4816,6137,6938,8494,9053,9187,8919,7507,7739,6489,7294,6130,4948,6512,5794,5142,6410,9009,9518,9249,9690,8714,9377,7446,6460,7692,8040,9704,9511
394692,6,"Houston, TX",Msa,TX,4306,5371,5655,5978,6436,6519,5778,3862,4658,3408,4478,3067,3355,4381,4267,4588,5564,5986,5130,4788,4987,4780,4948,2595,3096,4967,5210,5764,6182,4614,4392,3841,3394,3324,3598,2919,2896,4422,4482,5222,5699,5106,5479,4319,3811,3624,4323,3149,3294,4717,4635,5953,5904,6206,5264,4033,5142,5275,4619,4111,4278,5516,6459,7324,6683,7495,7503,6271,6039,4787,5582,,,,,,,7785,6711,7337,6960,5412,6754,4562,4619,6269,6150,6585,7877,7917,6311,7145,6317,4872,6736,4441,4973,7005,6576,7728,8467,7645,8551,6885,6233,6133,6991,4593,5616,7494,6825,8377,8767,7742,6748,6945,6862,6497,7188,5164,5688,6983,7559,8739,8872,8590,8527,6719,7117,6060,6645,4473,5119,6967,7623,8905,8312,9080,8542,7310,7482,6470,7787,5090,5920,7777,6328,6248,9091,10652,9086,9092,8961,8144,9836,6266,5876,9252,9459,9969,11237
395209,7,"Washington, DC",Msa,DC,3808,4582,4909,5313,6367,5839,5399,5260,5359,3941,4784,2634,2970,4500,4845,5256,7522,5998,6627,6260,5929,6024,5944,4424,3650,5811,6024,7138,8207,5376,6756,5391,4894,4734,5240,3905,3385,4973,4954,5727,7121,5789,6144,5171,4760,4542,5025,4058,3846,5091,5372,6917,7598,6616,7599,5011,5891,6395,5624,5352,4536,5880,6871,8308,9355,8133,8353,6777,6998,5705,6587,4631,4430,5842,6600,7052,8727,8006,7423,6657,6708,5560,6985,4664,4527,6318,7093,7937,10301,9251,8483,7286,7227,5850,8114,4715,5439,7006,7582,9326,11048,9100,9542,7925,7490,7483,7959,6157,5970,8220,8500,10421,11822,9266,9490,8317,8281,7605,7665,6285,5725,7816,8240,10280,11544,10060,9983,7616,8364,7542,7525,6612,5757,7860,9139,10669,10759,10138,9728,7994,9180,7393,8239,6817,6289,8357,8070,7640,9711,10577,10153,10198,10379,9079,9527,7514,7680,9818,10931,11723,11564
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,4002,4408,4943,4904,4864,4645,3922,3924,3891,2969,3846,2897,2822,3809,3913,4078,4873,4910,4723,4860,5504,4921,6011,4511,4131,6132,6169,5762,6480,5819,5026,4704,4815,4637,5822,4614,4601,6499,6822,6734,6915,5943,6445,6007,5211,5686,6491,5322,5236,6915,7299,7740,7314,6832,7077,6283,6956,6211,7161,6488,6244,7808,8714,8708,8589,8926,8136,7267,7754,6292,7620,6069,5665,7331,8366,8299,8079,8156,7400,7323,7939,6392,8265,5867,5932,8254,8821,8486,9473,9533,8290,8356,7841,6653,8815,6124,6610,8707,8912,9271,9997,9109,9176,8385,7812,7694,9085,6730,6873,9750,9247,10398,10577,9020,9918,6102,8565,7708,8688,7408,6836,10050,10325,10348,10851,10092,9783,7975,8837,7979,7987,6532,6536,8882,9779,10887,9490,10451,9233,8250,8643,7337,8938,7847,6284,9378,7242,5262,7125,9334,9736,9744,10623,9031,11570,9093,8869,12405,13361,13520,12510
394347,9,"Atlanta, GA",Msa,GA,5120,5655,6180,5944,6454,6616,6087,5325,5884,3572,4214,3040,2778,3834,3921,3837,4867,5426,4940,4782,5115,4739,5272,3264,3158,4566,4989,5288,6254,5061,4265,4048,4000,3597,3870,3182,2979,4764,4235,4955,5815,6408,5367,4530,4130,3863,3901,3661,3745,4666,4538,5312,5771,5339,5794,4732,5213,4937,4587,4518,4481,5733,6065,7185,7072,7620,7438,6321,6376,5559,5620,4871,4937,6191,6825,8047,8429,8294,7970,7349,7489,6007,6946,5443,5765,8102,8737,9429,10368,10289,9382,8718,7973,6577,8181,6244,7171,9626,10277,12171,13178,12143,12524,11313,10337,9677,10817,7326,8066,12487,11015,13364,14001,11994,12461,10968,10391,9585,10510,7177,8492,11883,11752,13485,13396,12675,12472,10500,10426,9709,9548,6872,8458,10985,11557,13215,12230,12367,11852,10295,10308,9094,10335,7037,8583,10273,8891,8567,11909,13012,12224,11861,11876,10116,11295,7774,8567,11930,11590,11249,12984
